stage,problem,group,config,arm,round,agent,labels,state_hash_before,vote,status
simple,S2,,00100,U,,310,"['FORMAL_REPORT', 'LOCAL_CORRECTION']",,LOCAL_CORRECTION,ok
simple,S3,,00100,E,,109,"['ADOPT', 'WAIT']",,ADOPT,ok
complex,C3,20.0,neutral,B,5.0,384,"['CONTINUE', 'PIVOT']",0f3cb815aadb9f93ff730542624076750b61bbc64a953ff792eb0ecbd8d4dfb2,CONTINUE,ok
simple,S1,,00100,U,,296,"['A', 'B']",,A,ok
complex,C2,3.0,00100,E,3.0,260,"['APPROVE', 'REJECT']",e2b72d20eb6e22dcae4aee1206b1bfd27777087b11155e18baf3fc66edf14510,APPROVE,ok
complex,C1,11.0,11011,U,1.0,303,"['PACKAGE_A', 'PACKAGE_B']",0f231fe774d49d531969950deadbd090d83305a898c07107e5f096cceacb16ac,PACKAGE_B,ok
simple,S2,,00100,E,,261,"['FORMAL_REPORT', 'LOCAL_CORRECTION']",,LOCAL_CORRECTION,ok
simple,S2,,00100,E,,137,"['FORMAL_REPORT', 'LOCAL_CORRECTION']",,FORMAL_REPORT,ok
complex,C3,17.0,00100,U,2.0,200,"['CONTINUE', 'PIVOT']",6e5806f5891836629d3a77f0532d24e42a7ff2f99b93213799b552e13477b9f5,CONTINUE,ok
complex,C1,19.0,00100,E,3.0,368,"['PACKAGE_A', 'PACKAGE_B']",40d847c6eff381fef2a10912a2bdbd9913405364cdca36125dfeb4d72d51d8fc,PACKAGE_B,ok
complex,C2,6.0,neutral,B,3.0,81,"['APPROVE', 'REJECT']",41cb985345e9057fe12ebf61ad7880dc00cb95b091ee6d66c7e54c5bb718b572,APPROVE,ok
complex,C2,19.0,00100,E,4.0,281,"['APPROVE', 'REJECT']",044acb309ce4b5d16aa36e0e037c23722310cae9910af2ddf833861032d39afe,APPROVE,ok
complex,C2,14.0,11011,U,3.0,32,"['APPROVE', 'REJECT']",8ade74675ba12b653d1d47aefdfc5ce0f3bab809874bbc7c5c3dae80b9fc2410,APPROVE,ok
complex,C2,15.0,11011,U,3.0,190,"['APPROVE', 'REJECT']",73ebc159b063c39446070f4dd2cdf190aeeaa12201740a86447ec785b58ecc24,APPROVE,ok
simple,S2,,00100,U,,313,"['FORMAL_REPORT', 'LOCAL_CORRECTION']",,LOCAL_CORRECTION,ok
complex,C2,1.0,11011,E,2.0,39,"['APPROVE', 'REJECT']",cbf3e0139b8112e6ea5eeab464a62e990ca798fe8500c58fd3c2a8bdf269b24e,APPROVE,ok
complex,C3,5.0,00100,U,6.0,96,"['CONTINUE', 'PIVOT']",44e085f6b6a0c183b5f0203c8ae981b487a4269b1134fe9f369a4ca84f88b3a8,CONTINUE,ok
complex,C2,6.0,00100,E,2.0,166,"['APPROVE', 'REJECT']",62b3886c063bd0bc68b1818077bbbfed37b0705418b905736524ac4c297e4455,APPROVE,ok
simple,S1,,11011,U,,146,"['A', 'B']",,B,ok
complex,C1,18.0,00100,U,2.0,138,"['PACKAGE_A', 'PACKAGE_B']",3b84d43f0dda1358f3bb02d440c716e32be0f2e8318fbc315e2ac76b0ea4d473,PACKAGE_A,ok
complex,C2,2.0,11011,U,4.0,151,"['APPROVE', 'REJECT']",3049295004bce13bf4cdebdb25a089e663bfc5355c723926c5260770f4614b30,APPROVE,ok
simple,S1,,00100,U,,250,"['A', 'B']",,A,ok
complex,C3,11.0,neutral,B,5.0,155,"['CONTINUE', 'PIVOT']",3bed734729b9f02e8ca86ae50d21989b88dd89de07656eaed5ade417e1c2e94b,CONTINUE,ok
complex,C2,2.0,11011,U,5.0,234,"['APPROVE', 'REJECT']",ee02095ab467f244fe2686f086d180e59b358c6dbcd46c3c574a3ad33412d47f,APPROVE,ok
complex,C3,4.0,00100,E,6.0,138,"['CONTINUE', 'PIVOT']",6701cb3d808c3665fba8e55215adb263d2aabc21f00b4b8a22f4d00694e6805f,CONTINUE,ok
complex,C2,15.0,00100,E,1.0,353,"['APPROVE', 'REJECT']",2195a2a2973df87cbedd3fb76cdaf1a68f4534b34f8ee6c93bd7e4d4af384a1a,APPROVE,ok
complex,C3,2.0,00100,E,4.0,17,"['CONTINUE', 'PIVOT']",5360f25185c5d9e2ba94fe050c372be3a8810a222aca9d8ea44ee45001417134,CONTINUE,ok
simple,S3,,00100,U,,201,"['ADOPT', 'WAIT']",,ADOPT,ok
complex,C1,17.0,11011,E,1.0,145,"['PACKAGE_A', 'PACKAGE_B']",c0ed7de33c4fcd6fc59d27b1dfe57be17d7573b153e15c1815da941837a3608a,PACKAGE_B,ok
complex,C2,7.0,neutral,B,1.0,46,"['APPROVE', 'REJECT']",c55351920245525d06b2e43307437a4aaf3751ee6778bc31e089312be4a6f346,APPROVE,ok
complex,C3,16.0,11011,E,2.0,16,"['CONTINUE', 'PIVOT']",d0713383fd976279de13b1ec8da987d8ea2c9387963d133a0e4bc58f517ec1ba,CONTINUE,ok
simple,S1,,11011,U,,113,"['A', 'B']",,A,ok
simple,S3,,00100,U,,305,"['ADOPT', 'WAIT']",,ADOPT,ok
simple,S2,,11011,U,,263,"['FORMAL_REPORT', 'LOCAL_CORRECTION']",,LOCAL_CORRECTION,ok
complex,C1,19.0,11011,E,1.0,154,"['PACKAGE_A', 'PACKAGE_B']",dee829fe58a5b011e86c4432c82ea1466dbd32dce833269ecde09cd4a4baa8ac,PACKAGE_B,ok
