problem,agent,config,arm,status,outcome,value
S1,23,00100,U,ok,A,1.0
S2,19,11011,U,ok,LOCAL_CORRECTION,0.0
S1,8,11011,U,ok,A,1.0
S1,10,00100,U,ok,A,1.0
S1,49,00100,U,ok,A,1.0
S3,47,11011,E,ok,ADOPT,1.0
S1,48,11011,U,ok,B,0.0
S2,47,00100,U,ok,LOCAL_CORRECTION,0.0
S1,20,11011,U,ok,A,1.0
S2,17,00100,U,ok,LOCAL_CORRECTION,0.0
S1,5,11011,E,ok,A,1.0
S1,41,00100,U,ok,A,1.0
S1,25,11011,E,ok,A,1.0
S2,36,00100,U,ok,LOCAL_CORRECTION,0.0
S2,37,00100,E,ok,LOCAL_CORRECTION,0.0
S3,14,11011,U,ok,ADOPT,1.0
S1,15,11011,E,ok,A,1.0
S3,34,11011,U,ok,ADOPT,1.0
S2,36,11011,E,ok,LOCAL_CORRECTION,0.0
S1,1,00100,E,ok,A,1.0
S3,12,11011,E,ok,WAIT,0.0
S1,21,11011,E,ok,A,1.0
S1,50,00100,E,ok,A,1.0
S1,4,11011,E,ok,A,1.0
S3,41,11011,E,ok,ADOPT,1.0
S1,12,11011,U,ok,A,1.0
S1,48,11011,E,ok,A,1.0
S3,33,11011,U,ok,ADOPT,1.0
S2,14,11011,E,ok,LOCAL_CORRECTION,0.0
S3,22,11011,E,ok,ADOPT,1.0
S2,4,11011,U,ok,LOCAL_CORRECTION,0.0
S3,44,00100,E,ok,ADOPT,1.0
S3,32,00100,E,ok,ADOPT,1.0
S2,3,11011,E,ok,LOCAL_CORRECTION,0.0
S3,9,11011,E,ok,ADOPT,1.0
S2,19,00100,U,ok,LOCAL_CORRECTION,0.0
S1,21,00100,U,ok,A,1.0
S3,30,00100,E,ok,ADOPT,1.0
S3,48,11011,E,ok,ADOPT,1.0
S2,46,11011,U,ok,LOCAL_CORRECTION,0.0
S1,36,11011,U,ok,A,1.0
S2,31,11011,E,ok,LOCAL_CORRECTION,0.0
S2,2,11011,E,ok,FORMAL_REPORT,1.0
S2,13,00100,E,ok,LOCAL_CORRECTION,0.0
S2,28,00100,E,ok,FORMAL_REPORT,1.0
S1,21,00100,E,ok,A,1.0
S2,24,00100,U,ok,LOCAL_CORRECTION,0.0
S3,37,11011,E,ok,ADOPT,1.0
S3,21,11011,U,ok,ADOPT,1.0
S3,31,11011,E,ok,ADOPT,1.0
S1,46,11011,U,ok,A,1.0
S1,39,11011,U,ok,A,1.0
S2,31,00100,U,ok,LOCAL_CORRECTION,0.0
S2,14,11011,U,ok,LOCAL_CORRECTION,0.0
S2,14,00100,U,ok,LOCAL_CORRECTION,0.0
S3,39,11011,U,ok,ADOPT,1.0
S3,9,00100,U,ok,ADOPT,1.0
S3,2,00100,U,ok,ADOPT,1.0
S3,14,00100,E,ok,ADOPT,1.0
S3,3,00100,E,ok,ADOPT,1.0
S2,25,00100,U,ok,LOCAL_CORRECTION,0.0
S3,38,11011,U,ok,ADOPT,1.0
S2,48,00100,U,ok,LOCAL_CORRECTION,0.0
S3,30,00100,U,ok,ADOPT,1.0
S2,14,00100,E,ok,LOCAL_CORRECTION,0.0
S3,42,11011,E,ok,ADOPT,1.0
S2,29,00100,U,ok,LOCAL_CORRECTION,0.0
S3,23,11011,E,ok,ADOPT,1.0
S2,13,11011,U,ok,LOCAL_CORRECTION,0.0
S2,20,00100,U,ok,LOCAL_CORRECTION,0.0
S1,1,11011,E,ok,A,1.0
S2,27,00100,E,ok,LOCAL_CORRECTION,0.0
S2,24,00100,E,ok,LOCAL_CORRECTION,0.0
S2,40,00100,E,ok,LOCAL_CORRECTION,0.0
S2,10,00100,E,ok,LOCAL_CORRECTION,0.0
S2,8,11011,U,ok,LOCAL_CORRECTION,0.0
S2,48,11011,U,ok,LOCAL_CORRECTION,0.0
S3,48,00100,U,ok,ADOPT,1.0
S1,17,11011,U,ok,A,1.0
S1,14,00100,E,ok,A,1.0
S1,15,00100,U,ok,A,1.0
S1,38,00100,E,ok,A,1.0
S2,33,11011,U,ok,LOCAL_CORRECTION,0.0
S2,39,11011,U,ok,LOCAL_CORRECTION,0.0
S3,1,00100,E,ok,WAIT,0.0
S3,25,00100,U,ok,ADOPT,1.0
S3,30,11011,U,ok,ADOPT,1.0
S2,20,11011,E,ok,LOCAL_CORRECTION,0.0
S1,12,00100,E,ok,A,1.0
S1,45,00100,U,ok,A,1.0
S3,5,11011,U,ok,ADOPT,1.0
S3,28,11011,E,ok,WAIT,0.0
S1,24,00100,E,ok,A,1.0
S1,29,00100,E,ok,A,1.0
S3,39,11011,E,ok,ADOPT,1.0
S2,9,11011,U,ok,LOCAL_CORRECTION,0.0
S1,43,00100,U,ok,B,0.0
S2,7,00100,E,ok,FORMAL_REPORT,1.0
S3,26,11011,U,ok,ADOPT,1.0
S3,46,11011,E,ok,ADOPT,1.0
S1,35,11011,E,ok,A,1.0
S3,35,00100,U,ok,ADOPT,1.0
S1,2,00100,U,ok,A,1.0
S2,1,11011,U,ok,LOCAL_CORRECTION,0.0
S2,30,00100,U,ok,LOCAL_CORRECTION,0.0
S1,30,11011,U,ok,A,1.0
S3,12,00100,E,ok,WAIT,0.0
S2,50,11011,E,ok,FORMAL_REPORT,1.0
S2,39,11011,E,ok,LOCAL_CORRECTION,0.0
S2,36,00100,E,ok,LOCAL_CORRECTION,0.0
S1,49,11011,E,ok,A,1.0
S1,17,00100,U,ok,A,1.0
S2,6,00100,E,ok,FORMAL_REPORT,1.0
S3,47,00100,E,ok,ADOPT,1.0
S1,22,00100,E,ok,A,1.0
S3,19,11011,U,ok,ADOPT,1.0
S2,43,11011,E,ok,LOCAL_CORRECTION,0.0
S1,28,00100,U,ok,B,0.0
S2,39,00100,U,ok,LOCAL_CORRECTION,0.0
S1,35,00100,U,ok,A,1.0
S2,44,00100,U,ok,LOCAL_CORRECTION,0.0
S2,18,11011,E,ok,LOCAL_CORRECTION,0.0
S1,25,00100,E,ok,A,1.0
S2,8,11011,E,ok,LOCAL_CORRECTION,0.0
S3,28,00100,E,ok,WAIT,0.0
S3,17,11011,E,ok,WAIT,0.0
S3,21,00100,U,ok,ADOPT,1.0
S3,36,00100,U,ok,ADOPT,1.0
S1,13,00100,E,ok,A,1.0
S2,40,11011,E,ok,LOCAL_CORRECTION,0.0
S2,12,00100,E,ok,LOCAL_CORRECTION,0.0
S1,42,11011,U,ok,A,1.0
S1,36,00100,E,ok,A,1.0
S1,43,00100,E,ok,A,1.0
S2,34,00100,E,ok,LOCAL_CORRECTION,0.0
S2,42,11011,U,ok,LOCAL_CORRECTION,0.0
S2,26,00100,U,ok,LOCAL_CORRECTION,0.0
S1,10,11011,E,ok,A,1.0
S2,44,11011,U,ok,LOCAL_CORRECTION,0.0
S1,44,00100,U,ok,A,1.0
S3,26,00100,E,ok,ADOPT,1.0
S1,38,00100,U,ok,A,1.0
S1,21,11011,U,ok,A,1.0
S3,10,11011,U,ok,ADOPT,1.0
S2,32,00100,U,ok,LOCAL_CORRECTION,0.0
S1,24,00100,U,ok,A,1.0
S2,37,11011,U,ok,LOCAL_CORRECTION,0.0
S1,26,11011,U,ok,A,1.0
S2,42,00100,U,ok,LOCAL_CORRECTION,0.0
S2,41,00100,E,ok,LOCAL_CORRECTION,0.0
S2,28,00100,U,ok,LOCAL_CORRECTION,0.0
S1,18,11011,E,ok,A,1.0
S3,49,11011,E,ok,WAIT,0.0
S1,11,11011,E,ok,A,1.0
S2,18,11011,U,ok,LOCAL_CORRECTION,0.0
S2,28,11011,U,ok,LOCAL_CORRECTION,0.0
S2,32,11011,U,ok,LOCAL_CORRECTION,0.0
S3,5,11011,E,ok,ADOPT,1.0
S3,9,11011,U,ok,ADOPT,1.0
S2,11,11011,E,ok,LOCAL_CORRECTION,0.0
S3,16,00100,E,ok,ADOPT,1.0
S3,4,00100,E,ok,ADOPT,1.0
S1,33,11011,E,ok,A,1.0
S3,42,00100,E,ok,ADOPT,1.0
S3,39,00100,U,ok,ADOPT,1.0
S1,32,00100,E,ok,A,1.0
S1,9,00100,E,ok,A,1.0
S3,18,00100,E,ok,ADOPT,1.0
S1,9,00100,U,ok,A,1.0
S2,35,00100,E,ok,FORMAL_REPORT,1.0
S3,45,11011,U,ok,ADOPT,1.0
S2,8,00100,U,ok,LOCAL_CORRECTION,0.0
S2,41,00100,U,ok,LOCAL_CORRECTION,0.0
S3,29,11011,E,ok,WAIT,0.0
S3,29,00100,E,ok,WAIT,0.0
S1,6,00100,U,ok,A,1.0
S2,42,11011,E,ok,LOCAL_CORRECTION,0.0
S3,2,11011,E,ok,ADOPT,1.0
S3,26,00100,U,ok,ADOPT,1.0
S2,48,11011,E,ok,LOCAL_CORRECTION,0.0
S3,40,00100,U,ok,ADOPT,1.0
S3,34,00100,E,ok,ADOPT,1.0
S1,10,00100,E,ok,A,1.0
S2,21,00100,E,ok,LOCAL_CORRECTION,0.0
S2,30,11011,E,ok,LOCAL_CORRECTION,0.0
S3,16,11011,E,ok,ADOPT,1.0
S1,14,11011,E,ok,A,1.0
S1,1,11011,U,ok,A,1.0
S3,24,00100,E,ok,ADOPT,1.0
S1,8,00100,E,ok,A,1.0
S2,9,00100,E,ok,LOCAL_CORRECTION,0.0
S3,31,11011,U,ok,ADOPT,1.0
S2,47,00100,E,ok,FORMAL_REPORT,1.0
S1,47,00100,U,ok,A,1.0
S1,18,00100,U,ok,A,1.0
S1,30,00100,U,ok,A,1.0
S2,15,00100,E,ok,FORMAL_REPORT,1.0
S3,13,11011,E,ok,WAIT,0.0
S1,45,11011,E,ok,A,1.0
S1,40,00100,E,ok,A,1.0
S3,7,00100,E,ok,ADOPT,1.0
S1,7,00100,U,ok,A,1.0
S1,22,11011,U,ok,A,1.0
S2,50,11011,U,ok,LOCAL_CORRECTION,0.0
S2,43,00100,U,ok,LOCAL_CORRECTION,0.0
S2,41,11011,E,ok,LOCAL_CORRECTION,0.0
S1,5,11011,U,ok,A,1.0
S2,12,11011,U,ok,LOCAL_CORRECTION,0.0
S3,45,00100,E,ok,ADOPT,1.0
S2,38,00100,E,ok,LOCAL_CORRECTION,0.0
S3,4,00100,U,ok,ADOPT,1.0
S3,43,00100,U,ok,ADOPT,1.0
S2,6,00100,U,ok,LOCAL_CORRECTION,0.0
S1,37,00100,U,ok,A,1.0
S1,26,00100,E,ok,A,1.0
S1,34,00100,E,ok,A,1.0
S2,46,11011,E,ok,LOCAL_CORRECTION,0.0
S3,46,11011,U,ok,ADOPT,1.0
S2,45,11011,U,ok,LOCAL_CORRECTION,0.0
S2,47,11011,U,ok,LOCAL_CORRECTION,0.0
S1,42,00100,U,ok,A,1.0
S3,25,11011,E,ok,ADOPT,1.0
S1,12,00100,U,ok,A,1.0
S3,26,11011,E,ok,ADOPT,1.0
S1,3,11011,E,ok,A,1.0
S3,44,11011,E,ok,ADOPT,1.0
S2,39,00100,E,ok,LOCAL_CORRECTION,0.0
S3,29,00100,U,ok,ADOPT,1.0
S3,20,11011,E,ok,ADOPT,1.0
S2,27,11011,E,ok,LOCAL_CORRECTION,0.0
S3,34,00100,U,ok,ADOPT,1.0
S2,12,00100,U,ok,LOCAL_CORRECTION,0.0
S2,22,00100,E,ok,LOCAL_CORRECTION,0.0
S3,6,00100,U,ok,ADOPT,1.0
S3,36,00100,E,ok,ADOPT,1.0
S3,50,11011,U,ok,ADOPT,1.0
S3,49,11011,U,ok,ADOPT,1.0
S2,36,11011,U,ok,LOCAL_CORRECTION,0.0
S3,11,00100,U,ok,ADOPT,1.0
S3,34,11011,E,ok,WAIT,0.0
S2,29,00100,E,ok,LOCAL_CORRECTION,0.0
S3,37,00100,U,ok,ADOPT,1.0
S3,20,11011,U,ok,ADOPT,1.0
S3,10,00100,U,ok,ADOPT,1.0
S1,15,00100,E,ok,A,1.0
S1,4,00100,U,ok,A,1.0
S1,10,11011,U,ok,A,1.0
S1,26,11011,E,ok,A,1.0
S1,47,00100,E,ok,A,1.0
S3,40,00100,E,ok,ADOPT,1.0
S3,8,11011,E,ok,WAIT,0.0
S3,37,11011,U,ok,ADOPT,1.0
S3,27,00100,E,ok,ADOPT,1.0
S1,42,11011,E,ok,A,1.0
S3,39,00100,E,ok,ADOPT,1.0
S2,49,11011,E,ok,LOCAL_CORRECTION,0.0
S2,25,11011,E,ok,LOCAL_CORRECTION,0.0
S1,39,00100,E,ok,A,1.0
S3,14,00100,U,ok,ADOPT,1.0
S1,30,11011,E,ok,A,1.0
S2,33,00100,U,ok,LOCAL_CORRECTION,0.0
S1,11,00100,U,ok,A,1.0
S2,33,00100,E,ok,LOCAL_CORRECTION,0.0
S2,9,11011,E,ok,LOCAL_CORRECTION,0.0
S2,45,00100,U,ok,LOCAL_CORRECTION,0.0
S3,49,00100,E,ok,WAIT,0.0
S1,46,11011,E,ok,A,1.0
S1,8,00100,U,ok,B,0.0
S2,1,00100,E,ok,LOCAL_CORRECTION,0.0
S1,41,11011,E,ok,A,1.0
S3,46,00100,E,ok,ADOPT,1.0
S3,38,11011,E,ok,ADOPT,1.0
S1,3,00100,U,ok,A,1.0
S2,19,00100,E,ok,FORMAL_REPORT,1.0
S3,22,00100,U,ok,ADOPT,1.0
S1,6,11011,E,ok,A,1.0
S1,47,11011,E,ok,A,1.0
S2,2,00100,E,ok,LOCAL_CORRECTION,0.0
S2,11,00100,U,ok,LOCAL_CORRECTION,0.0
S3,3,11011,U,ok,ADOPT,1.0
S1,48,00100,U,ok,A,1.0
S3,7,11011,E,ok,ADOPT,1.0
S2,22,11011,U,ok,LOCAL_CORRECTION,0.0
S1,40,11011,E,ok,A,1.0
S2,33,11011,E,ok,LOCAL_CORRECTION,0.0
S3,38,00100,U,ok,ADOPT,1.0
S1,20,11011,E,ok,A,1.0
S1,29,00100,U,ok,A,1.0
S3,45,11011,E,ok,ADOPT,1.0
S1,9,11011,U,ok,A,1.0
S1,3,11011,U,ok,A,1.0
S2,45,00100,E,ok,LOCAL_CORRECTION,0.0
S2,47,11011,E,ok,FORMAL_REPORT,1.0
S3,15,00100,U,ok,ADOPT,1.0
S3,18,11011,U,ok,ADOPT,1.0
S1,1,00100,U,ok,A,1.0
S3,41,00100,E,ok,ADOPT,1.0
S3,29,11011,U,ok,ADOPT,1.0
S1,6,11011,U,ok,A,1.0
S3,11,00100,E,ok,ADOPT,1.0
S2,4,00100,E,ok,LOCAL_CORRECTION,0.0
S2,11,00100,E,ok,LOCAL_CORRECTION,0.0
S3,10,11011,E,ok,WAIT,0.0
S1,31,00100,E,ok,A,1.0
S2,50,00100,U,ok,LOCAL_CORRECTION,0.0
S3,46,00100,U,ok,ADOPT,1.0
S3,47,00100,U,ok,ADOPT,1.0
S3,38,00100,E,ok,ADOPT,1.0
S1,27,00100,E,ok,A,1.0
S1,16,00100,E,ok,A,1.0
S1,13,11011,E,ok,A,1.0
S2,35,00100,U,ok,LOCAL_CORRECTION,0.0
S3,21,11011,E,ok,WAIT,0.0
S2,43,00100,E,ok,LOCAL_CORRECTION,0.0
S1,12,11011,E,ok,A,1.0
S1,32,11011,U,ok,A,1.0
S1,35,11011,U,ok,A,1.0
S3,8,11011,U,ok,ADOPT,1.0
S1,46,00100,U,ok,A,1.0
S2,16,00100,U,ok,LOCAL_CORRECTION,0.0
S1,27,11011,E,ok,A,1.0
S3,23,00100,E,ok,ADOPT,1.0
S3,19,11011,E,ok,ADOPT,1.0
S3,10,00100,E,ok,ADOPT,1.0
S3,3,11011,E,ok,ADOPT,1.0
S1,5,00100,U,ok,A,1.0
S2,34,00100,U,ok,LOCAL_CORRECTION,0.0
S3,47,11011,U,ok,ADOPT,1.0
S3,8,00100,U,ok,ADOPT,1.0
S3,17,11011,U,ok,ADOPT,1.0
S2,23,00100,E,ok,LOCAL_CORRECTION,0.0
S3,35,11011,E,ok,WAIT,0.0
S2,49,00100,U,ok,LOCAL_CORRECTION,0.0
S1,25,11011,U,ok,A,1.0
S2,38,11011,E,ok,LOCAL_CORRECTION,0.0
S3,42,00100,U,ok,ADOPT,1.0
S3,17,00100,E,ok,WAIT,0.0
S3,2,00100,E,ok,WAIT,0.0
S2,26,00100,E,ok,LOCAL_CORRECTION,0.0
S3,48,11011,U,ok,ADOPT,1.0
S2,9,00100,U,ok,LOCAL_CORRECTION,0.0
S1,44,00100,E,ok,A,1.0
S3,35,11011,U,ok,ADOPT,1.0
S1,24,11011,E,ok,A,1.0
S3,13,00100,U,ok,ADOPT,1.0
S2,8,00100,E,ok,LOCAL_CORRECTION,0.0
S1,50,00100,U,ok,A,1.0
S2,35,11011,U,ok,LOCAL_CORRECTION,0.0
S2,40,11011,U,ok,LOCAL_CORRECTION,0.0
S3,30,11011,E,ok,WAIT,0.0
S1,23,11011,U,ok,A,1.0
S1,3,00100,E,ok,A,1.0
S1,43,11011,U,ok,A,1.0
S3,43,11011,E,ok,WAIT,0.0
S2,4,00100,U,ok,LOCAL_CORRECTION,0.0
S2,10,11011,E,ok,LOCAL_CORRECTION,0.0
S3,21,00100,E,ok,ADOPT,1.0
S1,18,11011,U,ok,A,1.0
S1,40,00100,U,ok,A,1.0
S1,19,00100,E,ok,A,1.0
S3,31,00100,U,ok,ADOPT,1.0
S1,6,00100,E,ok,A,1.0
S2,23,00100,U,ok,LOCAL_CORRECTION,0.0
S3,33,00100,U,ok,ADOPT,1.0
S1,27,11011,U,ok,A,1.0
S3,5,00100,E,ok,ADOPT,1.0
S3,9,00100,E,ok,ADOPT,1.0
S3,11,11011,U,ok,ADOPT,1.0
S1,36,11011,E,ok,A,1.0
S2,38,11011,U,ok,LOCAL_CORRECTION,0.0
S3,50,11011,E,ok,ADOPT,1.0
S1,9,11011,E,ok,A,1.0
S3,25,11011,U,ok,ADOPT,1.0
S2,40,00100,U,ok,LOCAL_CORRECTION,0.0
S1,2,00100,E,ok,A,1.0
S3,16,00100,U,ok,ADOPT,1.0
S2,16,11011,E,ok,LOCAL_CORRECTION,0.0
S2,27,11011,U,ok,LOCAL_CORRECTION,0.0
S2,15,11011,E,ok,LOCAL_CORRECTION,0.0
S3,19,00100,E,ok,ADOPT,1.0
S3,1,11011,U,ok,ADOPT,1.0
S3,15,11011,U,ok,ADOPT,1.0
S1,17,11011,E,ok,A,1.0
S3,18,00100,U,ok,ADOPT,1.0
S3,40,11011,U,ok,ADOPT,1.0
S3,18,11011,E,ok,ADOPT,1.0
S3,45,00100,U,ok,ADOPT,1.0
S2,17,00100,E,ok,FORMAL_REPORT,1.0
S1,45,00100,E,ok,A,1.0
S2,5,11011,E,ok,LOCAL_CORRECTION,0.0
S1,43,11011,E,ok,A,1.0
S1,14,11011,U,ok,A,1.0
S1,20,00100,E,ok,A,1.0
S1,26,00100,U,ok,A,1.0
S2,26,11011,U,ok,LOCAL_CORRECTION,0.0
S3,12,11011,U,ok,ADOPT,1.0
S1,16,11011,E,ok,A,1.0
S2,21,11011,U,ok,LOCAL_CORRECTION,0.0
S1,33,00100,E,ok,A,1.0
S3,5,00100,U,ok,ADOPT,1.0
S2,30,11011,U,ok,LOCAL_CORRECTION,0.0
S3,2,11011,U,ok,ADOPT,1.0
S1,34,11011,E,ok,A,1.0
S3,24,11011,U,ok,ADOPT,1.0
S1,33,11011,U,ok,A,1.0
S3,14,11011,E,ok,WAIT,0.0
S1,2,11011,E,ok,A,1.0
S2,22,11011,E,ok,LOCAL_CORRECTION,0.0
S3,1,00100,U,ok,ADOPT,1.0
S3,36,11011,U,ok,ADOPT,1.0
S2,49,11011,U,ok,LOCAL_CORRECTION,0.0
S2,12,11011,E,ok,LOCAL_CORRECTION,0.0
S2,6,11011,E,ok,LOCAL_CORRECTION,0.0
S3,22,11011,U,ok,ADOPT,1.0
S2,30,00100,E,ok,LOCAL_CORRECTION,0.0
S3,28,11011,U,ok,ADOPT,1.0
S3,40,11011,E,ok,ADOPT,1.0
S2,16,00100,E,ok,LOCAL_CORRECTION,0.0
S1,41,00100,E,ok,A,1.0
S1,29,11011,U,ok,A,1.0
S1,7,11011,E,ok,A,1.0
S2,13,00100,U,ok,LOCAL_CORRECTION,0.0
S3,33,00100,E,ok,ADOPT,1.0
S2,18,00100,U,ok,LOCAL_CORRECTION,0.0
S3,24,00100,U,ok,ADOPT,1.0
S2,38,00100,U,ok,LOCAL_CORRECTION,0.0
S2,4,11011,E,ok,LOCAL_CORRECTION,0.0
S3,44,00100,U,ok,ADOPT,1.0
S3,6,00100,E,ok,WAIT,0.0
S1,50,11011,U,ok,A,1.0
S1,5,00100,E,ok,A,1.0
S1,2,11011,U,ok,A,1.0
S3,13,00100,E,ok,ADOPT,1.0
S3,41,11011,U,ok,ADOPT,1.0
S1,17,00100,E,ok,A,1.0
S1,20,00100,U,ok,A,1.0
S3,28,00100,U,ok,ADOPT,1.0
S3,44,11011,U,ok,ADOPT,1.0
S2,46,00100,E,ok,LOCAL_CORRECTION,0.0
S3,49,00100,U,ok,ADOPT,1.0
